 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     3.727E+00   4.049E+00   3.986E+00   3.967E+00   3.800E+00   4.100E+00   3.947E+00
 4.970E+01     3.718E+00   4.018E+00   3.922E+00   3.924E+00   3.805E+00   3.910E+00   3.844E+00
 1.000E+02     2.894E+00   3.099E+00   3.017E+00   3.027E+00   2.962E+00   2.955E+00   2.945E+00
 2.002E+02     1.929E+00   2.047E+00   1.993E+00   2.002E+00   1.971E+00   1.936E+00   1.944E+00
 2.993E+02     1.456E+00   1.539E+00   1.499E+00   1.506E+00   1.487E+00   1.452E+00   1.463E+00
 4.000E+02     1.178E+00   1.243E+00   1.211E+00   1.217E+00   1.203E+00   1.172E+00   1.182E+00
 4.995E+02     9.951E-01   1.048E+00   1.021E+00   1.026E+00   1.015E+00   9.869E-01   9.964E-01
 6.996E+02     7.656E-01   8.050E-01   7.844E-01   7.884E-01   7.807E-01   7.571E-01   7.654E-01
 9.986E+02     5.759E-01   6.045E-01   5.891E-01   5.922E-01   5.870E-01   5.678E-01   5.749E-01
 1.998E+03     3.259E-01   3.412E-01   3.325E-01   3.343E-01   3.320E-01   3.201E-01   3.247E-01
 2.970E+03     2.322E-01   2.432E-01   2.367E-01   2.381E-01   2.368E-01   2.273E-01   2.310E-01
 4.970E+03     1.509E-01   1.576E-01   1.536E-01   1.544E-01   1.536E-01   1.472E-01   1.498E-01
 6.972E+03     1.131E-01   1.185E-01   1.151E-01   1.160E-01   1.154E-01   1.102E-01   1.122E-01
 1.000E+04     8.319E-02   8.707E-02   8.463E-02   8.524E-02   8.488E-02   8.088E-02   8.245E-02
