 ENERGY        SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA  SLGUANINA   SLBACKBONE  SLDRYDNA
 2.500E+01     4.348E+00   4.499E+00   4.555E+00   4.503E+00   4.343E+00   4.935E+00   4.655E+00
 4.970E+01     4.337E+00   4.464E+00   4.482E+00   4.454E+00   4.348E+00   4.706E+00   4.533E+00
 1.000E+02     3.377E+00   3.443E+00   3.447E+00   3.436E+00   3.385E+00   3.557E+00   3.473E+00
 2.002E+02     2.250E+00   2.275E+00   2.278E+00   2.273E+00   2.253E+00   2.330E+00   2.293E+00
 2.993E+02     1.699E+00   1.710E+00   1.713E+00   1.710E+00   1.699E+00   1.748E+00   1.725E+00
 4.000E+02     1.375E+00   1.381E+00   1.384E+00   1.381E+00   1.374E+00   1.410E+00   1.394E+00
 4.995E+02     1.161E+00   1.165E+00   1.167E+00   1.165E+00   1.160E+00   1.188E+00   1.175E+00
 6.996E+02     8.932E-01   8.944E-01   8.964E-01   8.949E-01   8.922E-01   9.113E-01   9.028E-01
 9.986E+02     6.719E-01   6.717E-01   6.732E-01   6.722E-01   6.709E-01   6.835E-01   6.781E-01
 1.998E+03     3.802E-01   3.791E-01   3.800E-01   3.795E-01   3.794E-01   3.853E-01   3.829E-01
 2.970E+03     2.710E-01   2.702E-01   2.705E-01   2.703E-01   2.706E-01   2.736E-01   2.725E-01
 4.970E+03     1.760E-01   1.751E-01   1.756E-01   1.753E-01   1.755E-01   1.771E-01   1.767E-01
 6.972E+03     1.319E-01   1.316E-01   1.315E-01   1.316E-01   1.319E-01   1.327E-01   1.324E-01
 1.000E+04     9.706E-02   9.675E-02   9.672E-02   9.676E-02   9.700E-02   9.736E-02   9.725E-02
