 ENERGY        SLH2         SLN2        SLO2       SLNH3         SLOH2  
 2.500E+01     3.148E+00   1.004E+00   7.392E-01   1.923E+00   1.542E+00
 4.970E+01     5.131E+00   2.410E+00   1.977E+00   3.576E+00   3.028E+00
 1.000E+02     4.241E+00   2.730E+00   2.465E+00   3.378E+00   3.057E+00
 2.002E+02     2.641E+00   2.064E+00   1.974E+00   2.312E+00   2.196E+00
 2.993E+02     1.910E+00   1.605E+00   1.564E+00   1.736E+00   1.679E+00
 4.000E+02     1.504E+00   1.315E+00   1.294E+00   1.396E+00   1.364E+00
 4.995E+02     1.245E+00   1.119E+00   1.107E+00   1.173E+00   1.153E+00
 6.996E+02     9.338E-01   8.692E-01   8.660E-01   8.969E-01   8.886E-01
 9.986E+02     6.856E-01   6.587E-01   6.605E-01   6.703E-01   6.689E-01
 1.998E+03     3.733E-01   3.777E-01   3.825E-01   3.758E-01   3.794E-01
 2.970E+03     2.606E-01   2.715E-01   2.750E-01   2.668E-01   2.702E-01
 4.970E+03     1.649E-01   1.758E-01   1.797E-01   1.711E-01   1.748E-01
 6.972E+03     1.260E-01   1.340E-01   1.353E-01   1.305E-01   1.322E-01
 1.000E+04     9.151E-02   9.850E-02   9.990E-02   9.550E-02   9.710E-02
