 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     1.652E+00   2.026E+00   1.928E+00   1.864E+00   1.902E+00
 4.970E+01     3.139E+00   3.637E+00   3.492E+00   3.442E+00   3.444E+00
 1.000E+02     3.031E+00   3.333E+00   3.225E+00   3.242E+00   3.197E+00
 2.002E+02     2.113E+00   2.245E+00   2.181E+00   2.228E+00   2.177E+00
 2.993E+02     1.599E+00   1.677E+00   1.632E+00   1.678E+00   1.634E+00
 4.000E+02     1.293E+00   1.345E+00   1.310E+00   1.353E+00   1.315E+00
 4.995E+02     1.090E+00   1.129E+00   1.100E+00   1.139E+00   1.105E+00
 6.996E+02     8.370E-01   8.612E-01   8.394E-01   8.724E-01   8.451E-01
 9.986E+02     6.279E-01   6.423E-01   6.264E-01   6.531E-01   6.317E-01
 1.998E+03     3.542E-01   3.590E-01   3.504E-01   3.673E-01   3.543E-01
 2.970E+03     2.518E-01   2.540E-01   2.481E-01   2.605E-01   2.508E-01
 4.970E+03     1.633E-01   1.637E-01   1.597E-01   1.690E-01   1.624E-01
 6.972E+03     1.222E-01   1.232E-01   1.206E-01   1.260E-01   1.214E-01
 1.000E+04     8.983E-02   9.025E-02   8.834E-02   9.259E-02   8.908E-02
