 ENERGY        SLC4H4N2    SLC2H7N1    SLC1H5N1    SLC5H5N1    SLC4H8O1
 2.500E+01     1.770E+00   2.132E+00   2.076E+00   1.928E+00   2.038E+00
 4.970E+01     3.363E+00   3.828E+00   3.761E+00   3.560E+00   3.690E+00
 1.000E+02     3.247E+00   3.509E+00   3.473E+00   3.354E+00   3.425E+00
 2.002E+02     2.263E+00   2.363E+00   2.349E+00   2.305E+00   2.333E+00
 2.993E+02     1.713E+00   1.765E+00   1.757E+00   1.736E+00   1.751E+00
 4.000E+02     1.385E+00   1.416E+00   1.411E+00   1.399E+00   1.409E+00
 4.995E+02     1.168E+00   1.188E+00   1.184E+00   1.178E+00   1.184E+00
 6.996E+02     8.968E-01   9.065E-01   9.039E-01   9.024E-01   9.055E-01
 9.986E+02     6.727E-01   6.761E-01   6.745E-01   6.756E-01   6.768E-01
 1.998E+03     3.795E-01   3.779E-01   3.773E-01   3.799E-01   3.796E-01
 2.970E+03     2.698E-01   2.674E-01   2.672E-01   2.694E-01   2.687E-01
 4.970E+03     1.750E-01   1.723E-01   1.720E-01   1.748E-01   1.740E-01
 6.972E+03     1.310E-01   1.297E-01   1.299E-01   1.303E-01   1.300E-01
 1.000E+04     9.624E-02   9.500E-02   9.513E-02   9.578E-02   9.545E-02
