 ENERGY        SLURACILO   SLADENINA   SLTIMINA    SLCITOSINA  SLGUANINA   SLBACKBONE  SLDRYDNA
 2.500E+01     1.541E+00   1.599E+00   1.643E+00   1.613E+00   1.529E+00   1.768E+00   1.652E+00
 4.970E+01     3.055E+00   3.151E+00   3.187E+00   3.158E+00   3.056E+00   3.327E+00   3.192E+00
 1.000E+02     3.073E+00   3.132E+00   3.147E+00   3.134E+00   3.078E+00   3.239E+00   3.158E+00
 2.002E+02     2.199E+00   2.219E+00   2.227E+00   2.221E+00   2.199E+00   2.279E+00   2.240E+00
 2.993E+02     1.680E+00   1.689E+00   1.695E+00   1.691E+00   1.679E+00   1.731E+00   1.706E+00
 4.000E+02     1.365E+00   1.370E+00   1.374E+00   1.371E+00   1.363E+00   1.401E+00   1.384E+00
 4.995E+02     1.154E+00   1.157E+00   1.160E+00   1.158E+00   1.153E+00   1.182E+00   1.169E+00
 6.996E+02     8.899E-01   8.906E-01   8.931E-01   8.915E-01   8.886E-01   9.086E-01   8.997E-01
 9.986E+02     6.700E-01   6.696E-01   6.714E-01   6.702E-01   6.689E-01   6.820E-01   6.764E-01
 1.998E+03     3.802E-01   3.791E-01   3.800E-01   3.795E-01   3.794E-01   3.853E-01   3.829E-01
 2.970E+03     2.710E-01   2.702E-01   2.705E-01   2.703E-01   2.706E-01   2.736E-01   2.725E-01
 4.970E+03     1.760E-01   1.751E-01   1.756E-01   1.753E-01   1.755E-01   1.771E-01   1.767E-01
 6.972E+03     1.319E-01   1.316E-01   1.315E-01   1.316E-01   1.319E-01   1.327E-01   1.324E-01
 1.000E+04     9.706E-02   9.675E-02   9.672E-02   9.676E-02   9.700E-02   9.736E-02   9.725E-02
