 ENERGY        C4H4N2      C2H7N1      C1H5N1      C5H5N1      C4H8O1
 2.500E+01     4.528E+00   5.234E+00   4.994E+00   5.006E+00   4.982E+00
 4.970E+01     4.393E+00   4.892E+00   4.695E+00   4.767E+00   4.686E+00
 1.000E+02     3.323E+00   3.587E+00   3.465E+00   3.547E+00   3.463E+00
 2.002E+02     2.166E+00   2.286E+00   2.218E+00   2.284E+00   2.222E+00
 2.993E+02     1.620E+00   1.692E+00   1.645E+00   1.700E+00   1.651E+00
 4.000E+02     1.304E+00   1.354E+00   1.318E+00   1.365E+00   1.324E+00
 4.995E+02     1.097E+00   1.135E+00   1.105E+00   1.147E+00   1.111E+00
 6.996E+02     8.406E-01   8.641E-01   8.420E-01   8.763E-01   8.482E-01
 9.986E+02     6.298E-01   6.440E-01   6.279E-01   6.552E-01   6.333E-01
 1.998E+03     3.542E-01   3.590E-01   3.504E-01   3.673E-01   3.543E-01
 2.970E+03     2.518E-01   2.540E-01   2.481E-01   2.605E-01   2.508E-01
 4.970E+03     1.633E-01   1.637E-01   1.597E-01   1.690E-01   1.624E-01
 6.972E+03     1.222E-01   1.232E-01   1.206E-01   1.260E-01   1.214E-01
 1.000E+04     8.983E-02   9.025E-02   8.834E-02   9.259E-02   8.908E-02
