 ENERGY        CH4         C2H2        C2H4        C2H6        C6H6   
 2.500E+01     2.478E+00   2.076E+00   2.255E+00   2.382E+00   2.076E+00
 4.970E+01     4.264E+00   3.744E+00   3.975E+00   4.140E+00   3.744E+00
 1.000E+02     3.749E+00   3.454E+00   3.585E+00   3.679E+00   3.454E+00
 2.002E+02     2.455E+00   2.343E+00   2.393E+00   2.428E+00   2.343E+00
 2.993E+02     1.814E+00   1.757E+00   1.782E+00   1.801E+00   1.757E+00
 4.000E+02     1.447E+00   1.413E+00   1.428E+00   1.439E+00   1.413E+00
 4.995E+02     1.209E+00   1.187E+00   1.197E+00   1.204E+00   1.187E+00
 6.996E+02     9.175E-01   9.078E-01   9.121E-01   9.152E-01   9.078E-01
 9.986E+02     6.810E-01   6.783E-01   6.795E-01   6.804E-01   6.783E-01
 1.998E+03     3.777E-01   3.803E-01   3.791E-01   3.783E-01   3.803E-01
 2.970E+03     2.659E-01   2.691E-01   2.677E-01   2.667E-01   2.691E-01
 4.970E+03     1.710E-01   1.746E-01   1.730E-01   1.718E-01   1.746E-01
 6.972E+03     1.284E-01   1.298E-01   1.291E-01   1.287E-01   1.298E-01
 1.000E+04     9.390E-02   9.534E-02   9.470E-02   9.425E-02   9.534E-02
