 ENERGY        H2          N2          O2         NH3           OH2  
 2.500E+01     1.763E+00   2.249E+00   1.656E+00   3.769E+00   2.591E+00
 4.970E+01     2.874E+00   5.400E+00   4.429E+00   7.010E+00   5.088E+00
 1.000E+02     2.375E+00   6.116E+00   5.521E+00   6.621E+00   5.136E+00
 2.002E+02     1.479E+00   4.625E+00   4.423E+00   4.531E+00   3.690E+00
 2.993E+02     1.070E+00   3.595E+00   3.504E+00   3.402E+00   2.821E+00
 4.000E+02     8.423E-01   2.947E+00   2.899E+00   2.737E+00   2.292E+00
 4.995E+02     6.972E-01   2.508E+00   2.480E+00   2.300E+00   1.937E+00
 6.996E+02     5.230E-01   1.947E+00   1.940E+00   1.758E+00   1.493E+00
 9.986E+02     3.840E-01   1.476E+00   1.480E+00   1.314E+00   1.124E+00
 1.998E+03     2.091E-01   8.462E-01   8.569E-01   7.367E-01   6.375E-01
 2.970E+03     1.459E-01   6.082E-01   6.160E-01   5.230E-01   4.540E-01
 4.970E+03     9.235E-02   3.938E-01   4.027E-01   3.354E-01   2.937E-01
 6.972E+03     7.057E-02   3.001E-01   3.032E-01   2.559E-01   2.222E-01
 1.000E+04     5.125E-02   2.207E-01   2.238E-01   1.872E-01   1.631E-01
