 ENERGY        URACILO     ADENINA     TIMINA      CITOSINA    GUANINA     BACKBONE    DRYDNA
 2.500E+01     1.320E+00   1.439E+00   1.437E+00   1.421E+00   1.338E+00   1.468E+00   1.401E+00
 4.970E+01     2.619E+00   2.836E+00   2.788E+00   2.782E+00   2.674E+00   2.764E+00   2.706E+00
 1.000E+02     2.634E+00   2.819E+00   2.753E+00   2.761E+00   2.693E+00   2.691E+00   2.678E+00
 2.002E+02     1.885E+00   1.997E+00   1.948E+00   1.956E+00   1.924E+00   1.893E+00   1.899E+00
 2.993E+02     1.440E+00   1.520E+00   1.483E+00   1.490E+00   1.469E+00   1.438E+00   1.447E+00
 4.000E+02     1.170E+00   1.233E+00   1.202E+00   1.208E+00   1.193E+00   1.164E+00   1.173E+00
 4.995E+02     9.895E-01   1.041E+00   1.015E+00   1.020E+00   1.009E+00   9.821E-01   9.910E-01
 6.996E+02     7.628E-01   8.016E-01   7.815E-01   7.853E-01   7.776E-01   7.548E-01   7.628E-01
 9.986E+02     5.743E-01   6.027E-01   5.874E-01   5.905E-01   5.853E-01   5.666E-01   5.734E-01
 1.998E+03     3.259E-01   3.412E-01   3.325E-01   3.343E-01   3.320E-01   3.201E-01   3.247E-01
 2.970E+03     2.322E-01   2.432E-01   2.367E-01   2.381E-01   2.368E-01   2.273E-01   2.310E-01
 4.970E+03     1.509E-01   1.576E-01   1.536E-01   1.544E-01   1.536E-01   1.472E-01   1.498E-01
 6.972E+03     1.131E-01   1.185E-01   1.151E-01   1.160E-01   1.154E-01   1.102E-01   1.122E-01
 1.000E+04     8.319E-02   8.707E-02   8.463E-02   8.524E-02   8.488E-02   8.088E-02   8.245E-02
