Ee          CS  
486.308  11.4863
476.617  11.7699
471.798  12.0541
457.869  12.1472
439.916  12.3346
453.181  12.6213
435.412  12.8087
422.53  12.9967 
426.735  13.0923
418.286  13.186 
409.977  13.3746
397.847  13.5627
390.045  13.3716
382.297  13.5602
386.052  13.8456
386.027  13.9406
370.915  14.033 
378.334  14.2242
370.867  14.2229
363.547  14.2217
356.302  14.5053
352.7  14.7895  
338.914  14.787 
338.87  14.9769 
335.509  14.9763
325.562  15.2592
322.312  15.3536
312.756  15.6365
306.563  15.7302
300.454  16.0138
294.524  16.0126
288.655  16.2962
280.079  16.6741
271.828  16.6722
263.837  16.5754
261.203  16.6697
261.152  16.9546
253.426  17.1426
248.424  17.1414
243.505  17.2351
238.699  17.2338
236.285  17.518 
233.912  17.7073
227.021  17.7054
229.25  17.9909 
220.233  18.3682
215.844  18.6517
207.394  18.7442
