Ee          CS  
175.957  15.605 
186.777  15.2476
194.358  14.8903
204.268  14.5925
216.83  14.3542 
223.397  14.0564
230.164  13.9373
237.135  13.6991
251.718  13.4013
261.934  13.0439
275.29  12.7461 
286.464  12.5078
301.07  12.2696 
310.189  12.0313
322.779  11.7335
332.556  11.4357
346.053  11.1379
360.099  10.8997
367.334  10.6614
382.243  10.4232
389.923  10.1254
401.733  9.88715
422.217  9.47022
439.354  9.23197
461.756  8.99373
466.372  8.81505
485.301  8.69592
485.301  8.39812
500  8.39812  
