# H1 in gases -- Rudd 1983
# Units 
# Energy: MeV/u
# Cross section: 10^(-16) cm2
E	H2	N2	CO	O2	CO2
0.07	1.245	0.7325	0.77625	0.74375	0.69417
0.1	1.13	0.68375	0.72625	0.7	0.65667
0.15	0.905	0.5975	0.63125	0.61625	0.58
0.2	0.745	0.52375	0.55125	0.545	0.51417
0.3	0.545	0.42	0.43875	0.44125	0.4175
0.5	0.358	0.3025	0.31375	0.3225	0.305
0.7	0.2685	0.23875	0.245	0.25625	0.2425
1	0.1975	0.1825	0.18625	0.1975	0.1875
1.5	0.1385	0.1325	0.135	0.14625	0.13833
2	0.1075	0.10525	0.107	0.11663	0.11
3	0.075	0.07537	0.07637	0.08438	0.07983
5	0.0475	0.049	0.0495	0.05563	0.0525

