Ee          CS    
496.388  13.5487  
481.775  13.657  
458.382  13.9807 
440.484  14.1967 
431.817  14.5197 
410.841  14.736  
394.8  14.9519  
402.767  15.1665
383.185  15.1677
371.912  15.3834
357.398  15.707 
346.884  15.9227
333.347  16.2462
326.788  16.5693
317.168  16.6775
304.777  16.786 
301.774  17.1088
289.985  17.2172
287.115  17.325 
281.46  17.5405 
273.185  17.8638
262.519  18.0798
254.796  18.2955
249.793  18.8336
244.863  18.8341
232.968  19.0503
228.385  19.3734
221.666  19.5891
213.02  20.0202 
204.702  20.2362
200.666  20.3442
192.835  20.6677
187.158  20.7759

