Mol   Ne    0.5MeV      1MeV  2MeV  3MeV        5MeV        7MeV        10MeV
C      --      4.691      2.706      1.526      1.08      0.7      0.522      0.383
N      --      4.478      2.635      1.509      1.08      0.7      0.53      0.388
O      --      4.429      2.642      1.528      1.099      0.72      0.54      0.399
H2      2      2.49      1.3712      0.746      --      --      --      0.17646
H2O      6      6.919      4.0132      2.274      --      --      --      0.57546
NH3      7      8.213      4.6918      2.628      --      --      --      0.65269
CH4      8      9.671      5.4484      3.018      --      --      --      0.73592
CH5N      13      15.394      8.769      4.9      --      --      --      1.21215
C2H7N      19      22.575      12.8462      7.172      --      --      --      1.33046
C4H8O      28      33.153      18.9508      10.616      --      --      --      2.63684
C4H4N2      28      32.7      18.8364      10.614      --      --      --      2.66092
C6H6      30      35.616      20.3496      11.394      --      --      --      2.82738
C4H4N2O2      36      41.558      24.1204      13.67      --      --      --      3.45892
C4H5N3O      37      42.852      24.799      14.024      --      --      --      3.53615
C5H6N2O2      42      48.739      28.1976      15.942      --      --      --      4.01838
C5H5N5      45      52.07      30.133      17.04      --      --      --      4.29615
C5H5N5O      49      56.499      32.775      18.568      --      --      --      4.69515
