Mol   Ep(MeV) Ne  10^-16  a.u.
H2    2       2   0.209   0.74643
NH3   2       7   0.773   2.76071
H2O   2       6   0.703   2.51071428571429
H2O   0.5     6   1.79    6.39285714285714
CH5N  2       13  1.6     5.71428571428571
C2H7N 2       19  2.2     7.85714285714286
CH4   2       8   0.93    3.32142857142857
NH3   2       7   0.82    2.92857142857143
PYR   1.966   28  2.612   9.32857
U     0.5     36  11      39.28571
U     1       36  6.5     23.21429
U     2       36  3.5     12.5
A     0.5     45  14.43   51.5464285714286
A     1.      45  8.028   28.6714285714286
A     2.      45  4.744   16.9428571428571
